Designator,Mid X,Mid Y,Rotation,Layer
C1,151.1335,-112.05,270.0,top
C10,142.18,-98.7375,90.0,top
C11,142.18,-103.4925,90.0,top
C12,139.87,-105.1975,270.0,top
C13,142.18,-106.9175,90.0,top
C14,142.19,-87.0525,90.0,top
C15,139.87,-88.7825,270.0,top
C16,142.19,-90.5375,90.0,top
C17,168.7575,-119.83,180.0,top
C2,129.99,-112.375,90.0,top
C3,150.94,-94.5,180.0,top
C4,150.94,-90.5,180.0,top
C5,167.2,-108.15,90.0,top
C6,155.6875,-90.5,0.0,top
C7,155.6875,-94.5,0.0,top
C8,142.18,-95.2825,90.0,top
C9,139.87,-97.005,270.0,top
D13,136.52,-116.11,180.0,top
J1,124.086047,-100.433112,270.0,top
J3,181.3,-100.36,90.0,top
R1,137.0225,-96.025,0.0,top
R10,168.75,-115.64,180.0,top
R11,137.0225,-98.005,0.0,top
R12,137.0225,-89.755,0.0,top
R13,137.0225,-106.165,0.0,top
R14,142.42,-116.135,0.0,top
R2,137.0225,-104.195,0.0,top
R3,132.9825,-104.195,180.0,top
R4,132.9825,-106.165,0.0,top
R5,137.035,-87.755,0.0,top
R6,132.98,-87.765,180.0,top
R7,132.9825,-89.765,0.0,top
R8,132.9825,-96.025,180.0,top
R9,132.9825,-98.005,0.0,top
RV3,162.12,-85.975,0.0,top
SW1,154.25,-85.16,0.0,top
TP1,167.9,-85.2,180.0,top
TP2,146.7,-85.3,180.0,top
U1,151.425,-101.3375,0.0,top
U2,167.87,-101.65975,90.0,top
